Point	Row	Column	_s_Position
1	1	1	0.024438484
2	1	2	0.018411586
3	1	3	0.014134001
4	1	4	0.012964392
5	1	5	0.01308577
6	1	6	0.010622515
7	1	7	0.010292433
8	1	8	0.012236623
9	1	9	0.010024839
10	1	10	0.0053149024
11	1	11	0.010560555
12	2	1	0.027312458
13	2	2	0.023360388
14	2	3	0.022889804
15	2	4	0.015824715
16	2	5	0.013128755
17	2	6	0.014100702
18	2	7	0.0099925268
19	2	8	0.012129709
20	2	9	0.010888357
21	2	10	0.011552119
22	2	11	0.0092473784
23	3	1	0.028175827
24	3	2	0.030621413
25	3	3	0.02924992
26	3	4	0.020019621
27	3	5	0.019136142
28	3	6	0.015217686
29	3	7	0.012494684
30	3	8	0.012104422
31	3	9	0.013469327
32	3	10	0.010920135
33	3	11	0.0083609577
34	4	1	0.030082077
35	4	2	0.03721638
36	4	3	0.026480172
37	4	4	0.021741144
38	4	5	0.020679513
39	4	6	0.021448089
40	4	7	0.015157674
41	4	8	0.020742901
42	4	9	0.017095003
43	4	10	0.015852345
44	4	11	0.017666698
