Point	Row	Column	Norm_Int110
1	1	1	22.021929
2	1	2	21.66415
3	1	3	21.173145
4	1	4	20.457909
5	1	5	19.855417
6	1	6	20.361998
7	1	7	20.727556
8	1	8	19.5693
9	1	9	20.133745
10	1	10	19.837393
11	1	11	20.695286
12	2	1	19.515848
13	2	2	19.215008
14	2	3	18.472496
15	2	4	18.902098
16	2	5	21.215723
17	2	6	19.872
18	2	7	18.43037
19	2	8	18.119797
20	2	9	18.027939
21	2	10	17.941883
22	2	11	18.202517
23	3	1	25.175552
24	3	2	26.68878
25	3	3	23.543667
26	3	4	21.792303
27	3	5	25.311293
28	3	6	26.53261
29	3	7	25.930956
30	3	8	22.933424
31	3	9	18.571545
32	3	10	18.194376
33	3	11	18.301302
34	4	1	20.58642
35	4	2	20.966801
36	4	3	25.421778
37	4	4	26.474707
38	4	5	26.401834
39	4	6	24.276821
40	4	7	23.873421
41	4	8	20.88217
42	4	9	20.011763
43	4	10	20.00034
44	4	11	20.184574
