Point	Row	Column	110_s_Area
1	1	1	0.3419196
2	1	2	0.355492
3	1	3	0.36388043
4	1	4	0.37434939
5	1	5	0.38555685
6	1	6	0.39888176
7	1	7	0.40825957
8	1	8	0.4167462
9	1	9	0.42427397
10	1	10	0.42976499
11	1	11	0.45288381
12	2	1	0.29319221
13	2	2	0.30399957
14	2	3	0.31239
15	2	4	0.32146761
16	2	5	0.33073303
17	2	6	0.33960262
18	2	7	0.3449094
19	2	8	0.3529402
20	2	9	0.35591501
21	2	10	0.36121604
22	2	11	0.3791064
23	3	1	0.27235222
24	3	2	0.27559617
25	3	3	0.28395084
26	3	4	0.28632021
27	3	5	0.29247141
28	3	6	0.29318181
29	3	7	0.29711461
30	3	8	0.2988216
31	3	9	0.30616477
32	3	10	0.3126758
33	3	11	0.32064599
34	4	1	0.26971239
35	4	2	0.2672568
36	4	3	0.2724438
37	4	4	0.27250081
38	4	5	0.2741138
39	4	6	0.272578
40	4	7	0.26720962
41	4	8	0.26930761
42	4	9	0.27682778
43	4	10	0.2791332
44	4	11	0.2967
