Point	Row	Column	110_s_Position
1	1	1	0.017570799
2	1	2	0.0135908
3	1	3	0.010585401
4	1	4	0.0099648004
5	1	5	0.010361801
6	1	6	0.0086581996
7	1	7	0.008580599
8	1	8	0.010455
9	1	9	0.0086805988
10	1	10	0.0046174
11	1	11	0.0097717997
12	2	1	0.016941
13	2	2	0.014899199
14	2	3	0.0149872
15	2	4	0.0105068
16	2	5	0.0089184009
17	2	6	0.0098552005
18	2	7	0.0070336
19	2	8	0.0087750005
20	2	9	0.0079231998
21	2	10	0.0085430006
22	2	11	0.0071435999
23	3	1	0.016264001
24	3	2	0.017979398
25	3	3	0.017643202
26	3	4	0.0119422
27	3	5	0.011639
28	3	6	0.0092032002
29	3	7	0.007615
30	3	8	0.0074136001
31	3	9	0.0084759993
32	3	10	0.0069813998
33	3	11	0.0054529998
34	4	1	0.0172658
35	4	2	0.021492399
36	4	3	0.0152356
37	4	4	0.0123876
38	4	5	0.0118262
39	4	6	0.0122166
40	4	7	0.0083538005
41	4	8	0.011656
42	4	9	0.009799799
43	4	10	0.0091396002
44	4	11	0.0108674
