Point	Row	Column	Ratio_200_110
1	1	1	0.10338511
2	1	2	0.079570577
3	1	3	0.080655545
4	1	4	0.071472608
5	1	5	0.063162021
6	1	6	0.065155767
7	1	7	0.063545793
8	1	8	0.06734477
9	1	9	0.075976342
10	1	10	0.075440757
11	1	11	0.075052068
12	2	1	0.087323733
13	2	2	0.072713315
14	2	3	0.065924145
15	2	4	0.074036427
16	2	5	0.09065368
17	2	6	0.084049493
18	2	7	0.077843882
19	2	8	0.0741871
20	2	9	0.064984307
21	2	10	0.062840544
22	2	11	0.0713557
23	3	1	0.091597155
24	3	2	0.12397401
25	3	3	0.17908378
26	3	4	0.19946866
27	3	5	0.15959232
28	3	6	0.11531048
29	3	7	0.09910161
30	3	8	0.090394206
31	3	9	0.074467786
32	3	10	0.069467485
33	3	11	0.069447197
34	4	1	0.0592563
35	4	2	0.064821213
36	4	3	0.087544702
37	4	4	0.1028503
38	4	5	0.086039379
39	4	6	0.072690554
40	4	7	0.07032764
41	4	8	0.062262218
42	4	9	0.064018019
43	4	10	0.065729059
44	4	11	0.073684171
