Point	Row	Column	Co_at
1	1	1	0.0087853996
2	1	2	0.0067953998
3	1	3	0.0052927006
4	1	4	0.0049824002
5	1	5	0.0051809005
6	1	6	0.0043290998
7	1	7	0.0042902995
8	1	8	0.0052275001
9	1	9	0.0043402994
10	1	10	0.0023087
11	1	11	0.0048858998
12	2	1	0.0084704999
13	2	2	0.0074495994
14	2	3	0.0074935998
15	2	4	0.0052534002
16	2	5	0.0044592004
17	2	6	0.0049276003
18	2	7	0.0035168
19	2	8	0.0043875002
20	2	9	0.0039615999
21	2	10	0.0042715003
22	2	11	0.0035718
23	3	1	0.0081320005
24	3	2	0.0089896992
25	3	3	0.008821601
26	3	4	0.0059711002
27	3	5	0.0058195
28	3	6	0.0046016001
29	3	7	0.0038075
30	3	8	0.0037068001
31	3	9	0.0042379997
32	3	10	0.0034906999
33	3	11	0.0027264999
34	4	1	0.0086329002
35	4	2	0.0107462
36	4	3	0.0076178
37	4	4	0.0061937999
38	4	5	0.0059131002
39	4	6	0.0061082998
40	4	7	0.0041769003
41	4	8	0.0058280001
42	4	9	0.0048998995
43	4	10	0.0045698001
44	4	11	0.0054337
