Point	Row	Column	Fe_at
1	1	1	0.1709598
2	1	2	0.177746
3	1	3	0.18194021
4	1	4	0.18717469
5	1	5	0.19277842
6	1	6	0.19944088
7	1	7	0.20412979
8	1	8	0.2083731
9	1	9	0.21213698
10	1	10	0.21488249
11	1	11	0.2264419
12	2	1	0.1465961
13	2	2	0.15199979
14	2	3	0.156195
15	2	4	0.1607338
16	2	5	0.16536652
17	2	6	0.16980131
18	2	7	0.1724547
19	2	8	0.1764701
20	2	9	0.1779575
21	2	10	0.18060802
22	2	11	0.1895532
23	3	1	0.13617611
24	3	2	0.13779809
25	3	3	0.14197542
26	3	4	0.1431601
27	3	5	0.1462357
28	3	6	0.1465909
29	3	7	0.14855731
30	3	8	0.1494108
31	3	9	0.15308239
32	3	10	0.1563379
33	3	11	0.16032299
34	4	1	0.13485619
35	4	2	0.1336284
36	4	3	0.1362219
37	4	4	0.13625041
38	4	5	0.1370569
39	4	6	0.136289
40	4	7	0.13360481
41	4	8	0.13465381
42	4	9	0.13841389
43	4	10	0.1395666
44	4	11	0.14835
