Point	Row	Column	Zr_at
1	1	1	0.32592881
2	1	2	0.32049841
3	1	3	0.31277713
4	1	4	0.30546391
5	1	5	0.29789403
6	1	6	0.29106018
7	1	7	0.28316218
8	1	8	0.27707919
9	1	9	0.27132419
10	1	10	0.2710242
11	1	11	0.2604005
12	2	1	0.3525874
13	2	2	0.34749198
14	2	3	0.33867079
15	2	4	0.33146131
16	2	5	0.32370612
17	2	6	0.31968072
18	2	7	0.31161109
19	2	8	0.30556339
20	2	9	0.30188709
21	2	10	0.29941732
22	2	11	0.29132441
23	3	1	0.35774812
24	3	2	0.35291806
25	3	3	0.34811243
26	3	4	0.3465493
27	3	5	0.33989841
28	3	6	0.33294129
29	3	7	0.3305999
30	3	8	0.32425201
31	3	9	0.32174286
32	3	10	0.31867591
33	3	11	0.3146244
34	4	1	0.3506996
35	4	2	0.35177869
36	4	3	0.34495121
37	4	4	0.3446449
38	4	5	0.34028971
39	4	6	0.33891821
40	4	7	0.33774275
41	4	8	0.333433
42	4	9	0.32964227
43	4	10	0.32875431
44	4	11	0.32249939
