Point	Row	Column	Norm_d
1	1	1	0.21232536
2	1	2	0.33479896
3	1	3	0.45280477
4	1	4	0.55265582
5	1	5	0.61137509
6	1	6	0.63662153
7	1	7	0.6152755
8	1	8	0.5662719
9	1	9	0.46174031
10	1	10	0.32550883
11	1	11	0.16552018
12	2	1	0.50960922
13	2	2	0.66278988
14	2	3	0.81597048
15	2	4	0.91525424
16	2	5	0.98446918
17	2	6	1
18	2	7	0.96291041
19	2	8	0.88192326
20	2	9	0.7377491
21	2	10	0.58747607
22	2	11	0.39883697
23	3	1	0.41975746
24	3	2	0.5634352
25	3	3	0.69980854
26	3	4	0.78207219
27	3	5	0.84391177
28	3	6	0.88660377
29	3	7	0.84582657
30	3	8	0.77845544
31	3	9	0.66193885
32	3	10	0.52492732
33	3	11	0.35876888
34	4	1	0
35	4	2	0.11204879
36	4	3	0.19019927
37	4	4	0.26948443
38	4	5	0.32366499
39	4	6	0.35777605
40	4	7	0.36160555
41	4	8	0.33607545
42	4	9	0.261329
43	4	10	0.18353309
44	4	11	0.075952061
