Point	Row	Column	_s_Area
1	1	1	0.1797452
2	1	2	0.1845414
3	1	3	0.18723291
4	1	4	0.1921571
5	1	5	0.19795932
6	1	6	0.20376998
7	1	7	0.20842008
8	1	8	0.21360061
9	1	9	0.21647727
10	1	10	0.2171912
11	1	11	0.2313278
12	2	1	0.15506659
13	2	2	0.15944938
14	2	3	0.1636886
15	2	4	0.16598719
16	2	5	0.16982572
17	2	6	0.17472892
18	2	7	0.17597149
19	2	8	0.1808576
20	2	9	0.1819191
21	2	10	0.18487951
22	2	11	0.19312499
23	3	1	0.14430812
24	3	2	0.14678779
25	3	3	0.15079701
26	3	4	0.14913119
27	3	5	0.1520552
28	3	6	0.1511925
29	3	7	0.15236481
30	3	8	0.1531176
31	3	9	0.15732038
32	3	10	0.1598286
33	3	11	0.1630495
34	4	1	0.14348909
35	4	2	0.14437459
36	4	3	0.1438397
37	4	4	0.14244419
38	4	5	0.14297
39	4	6	0.1423973
40	4	7	0.13778171
41	4	8	0.1404818
42	4	9	0.14331378
43	4	10	0.1441364
44	4	11	0.15378369
