Point	Row	Column	110_s_Area
1	1	1	0.89102453
2	1	2	0.89289701
3	1	3	0.89067119
4	1	4	0.89285034
5	1	5	0.89717269
6	1	6	0.89827108
7	1	7	0.89378518
8	1	8	0.89060599
9	1	9	0.89327741
10	1	10	0.90022177
11	1	11	0.89905381
12	2	1	0.8899461
13	2	2	0.89168882
14	2	3	0.89107805
15	2	4	0.88457996
16	2	5	0.89140242
17	2	6	0.89186949
18	2	7	0.88900191
19	2	8	0.89072877
20	2	9	0.89633483
21	2	10	0.89615339
22	2	11	0.91186446
23	3	1	0.88909268
24	3	2	0.88734251
25	3	3	0.88771576
26	3	4	0.88833046
27	3	5	0.88902485
28	3	6	0.88853645
29	3	7	0.88191181
30	3	8	0.88820893
31	3	9	0.89204234
32	3	10	0.88829869
33	3	11	0.90420991
34	4	1	0.88252324
35	4	2	0.88715565
36	4	3	0.89034736
37	4	4	0.87993509
38	4	5	0.88541633
39	4	6	0.88228184
40	4	7	0.88475949
41	4	8	0.88640368
42	4	9	0.8865757
43	4	10	0.88826722
44	4	11	0.91454041
