Point	Row	Column	d_um
1	1	1	0.11157
2	1	2	0.11327
3	1	3	0.11263
4	1	4	0.11008
5	1	5	0.10585
6	1	6	0.0999
7	1	7	0.093910001
8	1	8	0.086790003
9	1	9	0.078340001
10	1	10	0.070299998
11	1	11	0.066249996
12	2	1	0.12656
13	2	2	0.1301
14	2	3	0.12965
15	2	4	0.12735
16	2	5	0.12256
17	2	6	0.11617
18	2	7	0.10812
19	2	8	0.098889999
20	2	9	0.089500003
21	2	10	0.080540001
22	2	11	0.071099997
23	3	1	0.11817
24	3	2	0.12099
25	3	3	0.12162
26	3	4	0.11976
27	3	5	0.11571
28	3	6	0.11042
29	3	7	0.10391
30	3	8	0.095799997
31	3	9	0.086479999
32	3	10	0.078440003
33	3	11	0.069080003
34	4	1	0.093189999
35	4	2	0.094829999
36	4	3	0.095020004
37	4	4	0.094659999
38	4	5	0.09166
39	4	6	0.088260002
40	4	7	0.083209999
41	4	8	0.077310003
42	4	9	0.071589999
43	4	10	0.065090001
44	4	11	0.05796
