Point	Row	Column	_s_FWHM
1	1	1	0.15240288
2	1	2	0.15552232
3	1	3	0.15613571
4	1	4	0.15486629
5	1	5	0.14857256
6	1	6	0.14643456
7	1	7	0.14655586
8	1	8	0.14865142
9	1	9	0.14476077
10	1	10	0.14552435
11	1	11	0.17515171
12	2	1	0.15631989
13	2	2	0.15797406
14	2	3	0.15439238
15	2	4	0.15958153
16	2	5	0.15935344
17	2	6	0.15438217
18	2	7	0.15484129
19	2	8	0.15130459
20	2	9	0.14623147
21	2	10	0.14272961
22	2	11	0.13769098
23	3	1	0.15904605
24	3	2	0.1596358
25	3	3	0.15891503
26	3	4	0.16103522
27	3	5	0.15984443
28	3	6	0.15417904
29	3	7	0.1604061
30	3	8	0.15153034
31	3	9	0.1446213
32	3	10	0.15109332
33	3	11	0.14857116
34	4	1	0.15924937
35	4	2	0.15337315
36	4	3	0.15537563
37	4	4	0.16095376
38	4	5	0.15875275
39	4	6	0.15696758
40	4	7	0.15006514
41	4	8	0.14881915
42	4	9	0.14722799
43	4	10	0.14216346
44	4	11	0.1388879
