Point	Row	Column	Norm_d
1	1	1	0.12868239
2	1	2	0.17654908
3	1	3	0.21712799
4	1	4	0.24261813
5	1	5	0.25585932
6	1	6	0.24922161
7	1	7	0.22622918
8	1	8	0.18818216
9	1	9	0.14000753
10	1	10	0.085639991
11	1	11	0.03075923
12	2	1	0.66862833
13	2	2	0.75047046
14	2	3	0.80466694
15	2	4	0.82057685
16	2	5	0.79943204
17	2	6	0.73281556
18	2	7	0.64717555
19	2	8	0.54035652
20	2	9	0.43100557
21	2	10	0.32120985
22	2	11	0.21534882
23	3	1	0.94446915
24	3	2	0.99329388
25	3	3	1
26	3	4	0.97088307
27	3	5	0.89649981
28	3	6	0.79604477
29	3	7	0.67817432
30	3	8	0.55551374
31	3	9	0.4344613
32	3	10	0.32100454
33	3	11	0.21914668
34	4	1	0.525473
35	4	2	0.52359122
36	4	3	0.50877613
37	4	4	0.46888152
38	4	5	0.41314539
39	4	6	0.3495056
40	4	7	0.2720772
41	4	8	0.19885722
42	4	9	0.12734801
43	4	10	0.059636638
44	4	11	0
