Point	Row	Column	Zr_at
1	1	1	0.057007536
2	1	2	0.061726719
3	1	3	0.061090317
4	1	4	0.061431386
5	1	5	0.06103551
6	1	6	0.059792187
7	1	7	0.060192231
8	1	8	0.060869806
9	1	9	0.060233228
10	1	10	0.059613701
11	1	11	0.058260743
12	2	1	0.077694766
13	2	2	0.079862267
14	2	3	0.082393698
15	2	4	0.084158361
16	2	5	0.085758343
17	2	6	0.0867652
18	2	7	0.086527854
19	2	8	0.086495295
20	2	9	0.086548075
21	2	10	0.083831042
22	2	11	0.081729658
23	3	1	0.090635777
24	3	2	0.092440069
25	3	3	0.093397982
26	3	4	0.094354451
27	3	5	0.094005086
28	3	6	0.093505099
29	3	7	0.092411093
30	3	8	0.091661185
31	3	9	0.090277657
32	3	10	0.090064071
33	3	11	0.089264736
34	4	1	0.089578934
35	4	2	0.089296579
36	4	3	0.088483728
37	4	4	0.087453321
38	4	5	0.082296766
39	4	6	0.08573433
40	4	7	0.080124959
41	4	8	0.080456115
42	4	9	0.079711735
43	4	10	0.075799167
44	4	11	0.073136359
