Point	Row	Column	d_um
1	1	1	0.17908999
2	1	2	0.19423001
3	1	3	0.20555
4	1	4	0.21636
5	1	5	0.22416
6	1	6	0.22804999
7	1	7	0.23108999
8	1	8	0.22897001
9	1	9	0.22334
10	1	10	0.21583
11	1	11	0.20879
12	2	1	0.22969
13	2	2	0.24698
14	2	3	0.26278999
15	2	4	0.27373001
16	2	5	0.28099999
17	2	6	0.28613999
18	2	7	0.28525999
19	2	8	0.27978
20	2	9	0.27068999
21	2	10	0.25712001
22	2	11	0.24070001
23	3	1	0.22645999
24	3	2	0.24333
25	3	3	0.25538999
26	3	4	0.26605999
27	3	5	0.27061999
28	3	6	0.27083999
29	3	7	0.26772001
30	3	8	0.25893
31	3	9	0.24874
32	3	10	0.23604
33	3	11	0.21946
34	4	1	0.17808001
35	4	2	0.18757001
36	4	3	0.19595
37	4	4	0.19913
38	4	5	0.20042001
39	4	6	0.19959
40	4	7	0.19426
41	4	8	0.18795
42	4	9	0.17913
43	4	10	0.16870999
44	4	11	0.15814
