Point	Row	Column	Fe_at
1	1	1	0.013522498
2	1	2	0.014469098
3	1	3	0.0149858
4	1	4	0.0164255
5	1	5	0.0170621
6	1	6	0.019138299
7	1	7	0.0202315
8	1	8	0.021496102
9	1	9	0.0238686
10	1	10	0.028355803
11	1	11	0.0368816
12	2	1	0.0115479
13	2	2	0.0122832
14	2	3	0.0129434
15	2	4	0.0141314
16	2	5	0.015342802
17	2	6	0.0167537
18	2	7	0.018077299
19	2	8	0.020061901
20	2	9	0.022410501
21	2	10	0.0255749
22	2	11	0.033363704
23	3	1	0.010528701
24	3	2	0.010987199
25	3	3	0.0121782
26	3	4	0.014208402
27	3	5	0.014501499
28	3	6	0.0154259
29	3	7	0.016883397
30	3	8	0.017871598
31	3	9	0.020823803
32	3	10	0.024510302
33	3	11	0.033230595
34	4	1	0.0089235995
35	4	2	0.0088252993
36	4	3	0.0083392002
37	4	4	0.011470099
38	4	5	0.0121137
39	4	6	0.014037201
40	4	7	0.0145863
41	4	8	0.015656199
42	4	9	0.018286299
43	4	10	0.025043
44	4	11	0.035320699
