Point	Row	Column	_s_Area
1	1	1	0.028123997
2	1	2	0.028668297
3	1	3	0.026869699
4	1	4	0.028629599
5	1	5	0.0288513
6	1	6	0.029684898
7	1	7	0.029376499
8	1	8	0.031231103
9	1	9	0.032000501
10	1	10	0.036041003
11	1	11	0.046562601
12	2	1	0.0262722
13	2	2	0.0261504
14	2	3	0.0268293
15	2	4	0.0274895
16	2	5	0.026847403
17	2	6	0.027794899
18	2	7	0.027973397
19	2	8	0.0291251
20	2	9	0.031805199
21	2	10	0.032998402
22	2	11	0.040681206
23	3	1	0.024998402
24	3	2	0.025458498
25	3	3	0.0259612
26	3	4	0.026908303
27	3	5	0.026939398
28	3	6	0.0273863
29	3	7	0.027510097
30	3	8	0.027794097
31	3	9	0.030562403
32	3	10	0.034242302
33	3	11	0.041917697
34	4	1	0.024738397
35	4	2	0.024371097
36	4	3	0.024123801
37	4	4	0.026278798
38	4	5	0.026469899
39	4	6	0.027066402
40	4	7	0.0273911
41	4	8	0.028273398
42	4	9	0.029798998
43	4	10	0.036829099
44	4	11	0.045326401
