Point	Row	Column	_s_MaxIntensity
1	1	1	0.079474494
2	1	2	0.086621888
3	1	3	0.085389599
4	1	4	0.097261801
5	1	5	0.1001836
6	1	6	0.097674087
7	1	7	0.1021886
8	1	8	0.10363091
9	1	9	0.1042282
10	1	10	0.10929931
11	1	11	0.1336576
12	2	1	0.1003412
13	2	2	0.1040522
14	2	3	0.1111462
15	2	4	0.1096876
16	2	5	0.11237451
17	2	6	0.1127524
18	2	7	0.11357189
19	2	8	0.1152204
20	2	9	0.1184356
21	2	10	0.1149664
22	2	11	0.12058091
23	3	1	0.098356113
24	3	2	0.10231589
25	3	3	0.109405
26	3	4	0.10941291
27	3	5	0.10897049
28	3	6	0.1096302
29	3	7	0.10531289
30	3	8	0.10899689
31	3	9	0.11200671
32	3	10	0.11103771
33	3	11	0.10857209
34	4	1	0.088623293
35	4	2	0.090189889
36	4	3	0.098412603
37	4	4	0.091158889
38	4	5	0.092944801
39	4	6	0.089637905
40	4	7	0.089895397
41	4	8	0.088821493
42	4	9	0.087182492
43	4	10	0.085849397
44	4	11	0.088780798
