Point	Row	Column	110_s_Area
1	1	1	0.027044997
2	1	2	0.028938197
3	1	3	0.0299716
4	1	4	0.032850999
5	1	5	0.034124199
6	1	6	0.038276598
7	1	7	0.040463001
8	1	8	0.042992204
9	1	9	0.0477372
10	1	10	0.056711607
11	1	11	0.073763199
12	2	1	0.0230958
13	2	2	0.024566401
14	2	3	0.0258868
15	2	4	0.0282628
16	2	5	0.030685604
17	2	6	0.033507399
18	2	7	0.036154598
19	2	8	0.040123802
20	2	9	0.044821002
21	2	10	0.0511498
22	2	11	0.066727407
23	3	1	0.021057403
24	3	2	0.021974398
25	3	3	0.024356401
26	3	4	0.028416803
27	3	5	0.029002998
28	3	6	0.0308518
29	3	7	0.033766795
30	3	8	0.035743196
31	3	9	0.041647606
32	3	10	0.049020603
33	3	11	0.066461191
34	4	1	0.017847199
35	4	2	0.017650599
36	4	3	0.0166784
37	4	4	0.022940198
38	4	5	0.024227399
39	4	6	0.028074402
40	4	7	0.029172599
41	4	8	0.031312399
42	4	9	0.036572598
43	4	10	0.050085999
44	4	11	0.070641398
