Point	Row	Column	Co_at
1	1	1	0.014601499
2	1	2	0.014199198
3	1	3	0.0118839
4	1	4	0.0122041
5	1	5	0.0117892
6	1	6	0.010546599
7	1	7	0.009145
8	1	8	0.0097350013
9	1	9	0.0081318999
10	1	10	0.0076852008
11	1	11	0.0096810004
12	2	1	0.0147243
13	2	2	0.0138672
14	2	3	0.0138859
15	2	4	0.0133581
16	2	5	0.011504601
17	2	6	0.0110412
18	2	7	0.0098960986
19	2	8	0.0090632001
20	2	9	0.0093946997
21	2	10	0.0074235001
22	2	11	0.0073175007
23	3	1	0.014469702
24	3	2	0.014471299
25	3	3	0.013783
26	3	4	0.012699901
27	3	5	0.012437899
28	3	6	0.0119604
29	3	7	0.010626699
30	3	8	0.0099224988
31	3	9	0.0097386008
32	3	10	0.0097320005
33	3	11	0.0086870994
34	4	1	0.015814798
35	4	2	0.015545798
36	4	3	0.015784601
37	4	4	0.014808699
38	4	5	0.0143562
39	4	6	0.013029201
40	4	7	0.0128048
41	4	8	0.012617199
42	4	9	0.011512699
43	4	10	0.0117861
44	4	11	0.0100057
