FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01405,1,1,1,,,,,,0,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,2,1,2,,,,,,0,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,3,1,3,4.2108569000000005,0.73915154,,1642.1852,,0,29.974489000000002,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,4,1,4,4.2100053,0.80245566,,1491.6388,,0,29.980696000000002,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,5,1,5,4.2097796999999995,0.82670891,,1380.4573,,0,29.98234,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,6,1,6,4.211989900000001,0.7981953,,1337.8643,,0,29.966238,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,7,1,7,4.2019129,0.82486826,,1822.5439,,0,30.039793,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,8,1,8,4.189302,0.8463605,,2866.0127,,0,30.13236,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,9,1,9,,,,,,0,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,10,1,10,,,,,,0,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,11,1,11,,,0.45693937,,372.70856000000003,0,,36.988479999999996,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,12,2,1,4.195569,0.8297261,,2429.4792,,0,30.086287,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,13,2,2,4.2191477,0.88805062,,894.23102,,0,29.914213,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,14,2,3,4.239378,0.75196064,,552.4904799999999,,0,29.76815,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,15,2,4,4.2381082,0.9208439,,359.10321,,0,29.777277,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,16,2,5,4.244280799999999,0.96048665,,333.93823,,0,29.732971000000003,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,17,2,6,4.2386751,0.97454953,,417.48922999999996,,0,29.773201,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,18,2,7,4.239253,0.87552124,,494.77502000000004,,0,29.769051,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,19,2,8,4.230679,0.83861291,,700.87012,,0,29.830779999999997,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,20,2,9,4.2170997,0.80959576,,1124.4241,,0,29.929078999999998,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,21,2,10,,,,,,0,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,22,2,11,,,,,,0,,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,23,3,1,4.1891875,0.76558799,,3814.8975,,0,30.133202,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,24,3,2,4.2112098,0.73591369,,1804.4658,,0,29.971918,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
Ba1.0O3,01405,25,3,3,4.2186666,0.81231636,,1201.4203,,0,29.917702000000002,,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,22_Dec_2017,Pulsed Laser Deposition,B12ZY82,700.0,18.2,800,N,120.0,10,50.0,ITO/EXG,0,0,0,0,0,0,125.0,125.0,0,0,0,0,0,0,0/ 180/ 90/ 270
