Point	Row	Column	_s_FWHM
1	1	1	0.22285742
2	1	2	0.22768003
3	1	3	0.22018939
4	1	4	0.215938
5	1	5	0.21083377
6	1	6	0.21180257
7	1	7	0.19584882
8	1	8	0.19401181
9	1	9	0.17977802
10	1	10	0.17282639
11	1	11	0.14577702
12	2	1	0.20962918
13	2	2	0.2167808
14	2	3	0.2093396
15	2	4	0.21414222
16	2	5	0.2066056
17	2	6	0.2048814
18	2	7	0.19698457
19	2	8	0.1947698
20	2	9	0.1918686
21	2	10	0.1781562
22	2	11	0.13635281
23	3	1	0.18153401
24	3	2	0.1856828
25	3	3	0.197576
26	3	4	0.1740042
27	3	5	0.18642499
28	3	6	0.17966861
29	3	7	0.16671079
30	3	8	0.2044118
31	3	9	0.16701679
32	3	10	0.15608902
33	3	11	0.14581278
34	4	1	0.20953821
35	4	2	0.20039061
36	4	3	0.18570217
37	4	4	0.19807538
38	4	5	0.1966206
39	4	6	0.20055002
40	4	7	0.18918101
41	4	8	0.1758468
42	4	9	0.1736646
43	4	10	0.17803699
44	4	11	0.1546402
