Point	Row	Column	a_Ang
1	1	1	4.142005
2	1	2	4.1354418
3	1	3	4.1284399
4	1	4	4.1260791
5	1	5	4.1095066
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	4.0869112
11	1	11	4.1109428
12	2	1	4.1397629
13	2	2	4.116271
14	2	3	4.1027484
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	4.0737062
22	2	11	4.0944891
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	4.0608153
31	3	9	4.0662131
32	3	10	4.0678649
33	3	11	4.0894318
34	4	1	4.0922189
35	4	2	4.0895801
36	4	3	4.1002874
37	4	4	4.1183677
38	4	5	4.1054916
39	4	6	4.1072526
40	4	7	4.1061683
41	4	8	4.0913243
42	4	9	4.0836873
43	4	10	4.0840554
44	4	11	4.0797577
