Point	Row	Column	110_s_Area
1	1	1	0.40679345
2	1	2	0.40877265
3	1	3	0.40721259
4	1	4	0.4113456
5	1	5	0.41623396
6	1	6	0.41387597
7	1	7	0.41972545
8	1	8	0.42150101
9	1	9	0.42841783
10	1	10	0.44507039
11	1	11	0.48885626
12	2	1	0.41064215
13	2	2	0.41038901
14	2	3	0.41517901
15	2	4	0.41515306
16	2	5	0.41312721
17	2	6	0.41748101
18	2	7	0.42037237
19	2	8	0.4200004
20	2	9	0.42777321
21	2	10	0.44174841
22	2	11	0.48467624
23	3	1	0.4305658
24	3	2	0.429021
25	3	3	0.4310202
26	3	4	0.43837479
27	3	5	0.42493036
28	3	6	0.43364519
29	3	7	0.4364168
30	3	8	0.43006799
31	3	9	0.43771496
32	3	10	0.45299584
33	3	11	0.49017575
34	4	1	0.427073
35	4	2	0.42684001
36	4	3	0.42552075
37	4	4	0.42933595
38	4	5	0.42905501
39	4	6	0.42881966
40	4	7	0.43033504
41	4	8	0.440263
42	4	9	0.43983859
43	4	10	0.45025414
44	4	11	0.48364359
