Point	Row	Column	Co_at
1	1	1	0.13105701
2	1	2	0.12980971
3	1	3	0.1306451
4	1	4	0.13028251
5	1	5	0.13235998
6	1	6	0.13207288
7	1	7	0.13585861
8	1	8	0.138432
9	1	9	0.13997701
10	1	10	0.14115611
11	1	11	0.14051431
12	2	1	0.13138609
13	2	2	0.13116141
14	2	3	0.1312075
15	2	4	0.13208091
16	2	5	0.1310052
17	2	6	0.1332624
18	2	7	0.13388398
19	2	8	0.1375166
20	2	9	0.1389299
21	2	10	0.13909771
22	2	11	0.14049391
23	3	1	0.13932431
24	3	2	0.13925169
25	3	3	0.13769031
26	3	4	0.1394695
27	3	5	0.13888429
28	3	6	0.1384165
29	3	7	0.14207511
30	3	8	0.13902
31	3	9	0.14360529
32	3	10	0.13996622
33	3	11	0.13905539
34	4	1	0.13898779
35	4	2	0.1383777
36	4	3	0.13994588
37	4	4	0.13937399
38	4	5	0.140397
39	4	6	0.14063232
40	4	7	0.14036292
41	4	8	0.1439327
42	4	9	0.1449728
43	4	10	0.14584509
44	4	11	0.1445082
