Point	Row	Column	_s_Area
1	1	1	0.33445373
2	1	2	0.33419603
3	1	3	0.3342514
4	1	4	0.33595529
5	1	5	0.34047696
6	1	6	0.33901086
7	1	7	0.34572133
8	1	8	0.34918249
9	1	9	0.35418594
10	1	10	0.3636913
11	1	11	0.38494244
12	2	1	0.33670717
13	2	2	0.33635589
14	2	3	0.338797
15	2	4	0.33965743
16	2	5	0.33756879
17	2	6	0.3420029
18	2	7	0.34407017
19	2	8	0.3475168
20	2	9	0.35281649
21	2	10	0.35997191
22	2	11	0.38283205
23	3	1	0.35460719
24	3	2	0.35376221
25	3	3	0.35320041
26	3	4	0.35865691
27	3	5	0.35134947
28	3	6	0.35523909
29	3	7	0.36028349
30	3	8	0.354054
31	3	9	0.36246276
32	3	10	0.36646414
33	3	11	0.38414326
34	4	1	0.35252431
35	4	2	0.3517977
36	4	3	0.35270625
37	4	4	0.35404196
38	4	5	0.3549245
39	4	6	0.35504213
40	4	7	0.35553044
41	4	8	0.36406419
42	4	9	0.3648921
43	4	10	0.37097216
44	4	11	0.38633001
