Point	Row	Column	Fe_at
1	1	1	0.20339672
2	1	2	0.20438632
3	1	3	0.20360629
4	1	4	0.2056728
5	1	5	0.20811698
6	1	6	0.20693798
7	1	7	0.20986272
8	1	8	0.21075051
9	1	9	0.21420892
10	1	10	0.22253519
11	1	11	0.24442813
12	2	1	0.20532107
13	2	2	0.2051945
14	2	3	0.20758951
15	2	4	0.20757653
16	2	5	0.20656361
17	2	6	0.2087405
18	2	7	0.21018618
19	2	8	0.2100002
20	2	9	0.2138866
21	2	10	0.22087421
22	2	11	0.24233812
23	3	1	0.2152829
24	3	2	0.2145105
25	3	3	0.2155101
26	3	4	0.21918739
27	3	5	0.21246518
28	3	6	0.21682259
29	3	7	0.2182084
30	3	8	0.21503399
31	3	9	0.21885748
32	3	10	0.22649792
33	3	11	0.24508788
34	4	1	0.2135365
35	4	2	0.21342
36	4	3	0.21276037
37	4	4	0.21466798
38	4	5	0.2145275
39	4	6	0.21440983
40	4	7	0.21516752
41	4	8	0.2201315
42	4	9	0.21991929
43	4	10	0.22512707
44	4	11	0.2418218
