Point	Row	Column	MaxInt_110
1	1	1	2131.5317
2	1	2	2204.1045
3	1	3	1950.699
4	1	4	2112.1667
5	1	5	1551.7401
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	825.97363
11	1	11	1241.6837
12	2	1	3028.2153
13	2	2	2302.1907
14	2	3	523.81488
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	1073.3844
22	2	11	1388.3258
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	416.25327
31	3	9	1130.2795
32	3	10	1229.4927
33	3	11	1381.673
34	4	1	1220.3799
35	4	2	1294.1807
36	4	3	1944.9316
37	4	4	2023.6428
38	4	5	1929.0006
39	4	6	1957.7671
40	4	7	1884.936
41	4	8	1631.9757
42	4	9	1417.3379
43	4	10	1260.4274
44	4	11	1137.6848
