Point	Row	Column	MaxInt_111
1	1	1	670.53699
2	1	2	667.16907
3	1	3	698.36194
4	1	4	552.48499
5	1	5	773.13208
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	367.2413
11	1	11	
12	2	1	808.46045
13	2	2	1011.616
14	2	3	358.2916
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	518.97266
22	2	11	
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	538.73407
32	3	10	379.59161
33	3	11	335.32159
34	4	1	665.99902
35	4	2	660.44141
36	4	3	532.69043
37	4	4	554.78546
38	4	5	511.20267
39	4	6	505.19647
40	4	7	388.92044
41	4	8	461.52094
42	4	9	323.45032
43	4	10	309.30002
44	4	11	
