Point	Row	Column	Norm_d
1	1	1	0.95680916
2	1	2	0.99680477
3	1	3	1
4	1	4	0.95405465
5	1	5	0.87274128
6	1	6	0.76344204
7	1	7	0.62163949
8	1	8	0.48270163
9	1	9	0.33803436
10	1	10	0.20691934
11	1	11	0.08186426
12	2	1	0.7398634
13	2	2	0.77721465
14	2	3	0.79374176
15	2	4	0.76939178
16	2	5	0.71694577
17	2	6	0.63045394
18	2	7	0.52093434
19	2	8	0.40491405
20	2	9	0.28977522
21	2	10	0.1751873
22	2	11	0.061260466
23	3	1	0.27886733
24	3	2	0.30630234
25	3	3	0.32426178
26	3	4	0.32304981
27	3	5	0.2967166
28	3	6	0.26443368
29	3	7	0.20669898
30	3	8	0.15160863
31	3	9	0.068642572
32	3	10	0
33	3	11	-0.080431908
34	4	1	0.44766417
35	4	2	0.48369324
36	4	3	0.51046717
37	4	4	0.50617009
38	4	5	0.47840458
39	4	6	0.43785807
40	4	7	0.36976641
41	4	8	0.28768179
42	4	9	0.20592771
43	4	10	0.12130895
44	4	11	0.033825472
