Point	Row	Column	Y_at
1	1	1	0.073387206
2	1	2	0.072046608
3	1	3	0.073012099
4	1	4	0.071638703
5	1	5	0.071324296
6	1	6	0.070339896
7	1	7	0.066967107
8	1	8	0.064992301
9	1	9	0.066725008
10	1	10	0.065128803
11	1	11	0.060751908
12	2	1	0.073274896
13	2	2	0.069688402
14	2	3	0.0716471
15	2	4	0.068974309
16	2	5	0.0725061
17	2	6	0.068303198
18	2	7	0.069853894
19	2	8	0.066706203
20	2	9	0.062863998
21	2	10	0.064212903
22	2	11	0.064720109
23	3	1	0.067735501
24	3	2	0.069334298
25	3	3	0.0672656
26	3	4	0.069148399
27	3	5	0.069692396
28	3	6	0.064868197
29	3	7	0.066705197
30	3	8	0.064096898
31	3	9	0.065110095
32	3	10	0.068003505
33	3	11	0.057760593
34	4	1	0.064986303
35	4	2	0.0639024
36	4	3	0.069309592
37	4	4	0.062857896
38	4	5	0.062735602
39	4	6	0.062182207
40	4	7	0.063406304
41	4	8	0.063414402
42	4	9	0.064506501
43	4	10	0.057160396
44	4	11	0.057316501
