Point	Row	Column	110_s_Position
1	1	1	0.26211402
2	1	2	0.25961941
3	1	3	0.26129019
4	1	4	0.26056501
5	1	5	0.26471996
6	1	6	0.26414576
7	1	7	0.27171722
8	1	8	0.27686399
9	1	9	0.27995402
10	1	10	0.28231221
11	1	11	0.28102863
12	2	1	0.26277217
13	2	2	0.26232281
14	2	3	0.26241499
15	2	4	0.26416183
16	2	5	0.2620104
17	2	6	0.26652479
18	2	7	0.26776797
19	2	8	0.27503321
20	2	9	0.27785981
21	2	10	0.27819541
22	2	11	0.28098783
23	3	1	0.27864861
24	3	2	0.27850339
25	3	3	0.27538061
26	3	4	0.27893901
27	3	5	0.27776858
28	3	6	0.276833
29	3	7	0.28415021
30	3	8	0.27803999
31	3	9	0.28721058
32	3	10	0.27993244
33	3	11	0.27811077
34	4	1	0.27797559
35	4	2	0.27675539
36	4	3	0.27989176
37	4	4	0.27874798
38	4	5	0.28079399
39	4	6	0.28126463
40	4	7	0.28072584
41	4	8	0.2878654
42	4	9	0.2899456
43	4	10	0.29169017
44	4	11	0.2890164
