Point	Row	Column	PeakArea_110
1	1	1	9.8647509
2	1	2	9.2386093
3	1	3	9.0079174
4	1	4	9.4567661
5	1	5	7.7577744
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	7.9278622
11	1	11	12.003251
12	2	1	14.537734
13	2	2	12.268709
14	2	3	3.9683058
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	10.467052
22	2	11	15.827504
23	3	1	
24	3	2	
25	3	3	
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	6.7385468
31	3	9	13.400174
32	3	10	15.072678
33	3	11	19.081963
34	4	1	9.2685261
35	4	2	9.925168
36	4	3	13.141607
37	4	4	12.963962
38	4	5	13.183664
39	4	6	13.882562
40	4	7	14.302145
41	4	8	13.740464
42	4	9	12.992609
43	4	10	14.343496
44	4	11	14.236534
