Point	x_mm	y_mm	Ba_at	Zr_at	Y_at	Co_at	Fe_at	Sigma_elec	d_um	Temp_C
1	0	0	0.46026275	0.45421875	0.057394493	0.014601499	0.013522498	3.0621308e-11	0.17908999	265
2	0	1.5	0.45901075	0.4565942	0.05649326	0.014616234	0.013285547	2.7975419e-11	0.18516199	265
3	0	3	0.45775875	0.45896965	0.055592023	0.014630971	0.013048596	2.7793335e-11	0.19123399	265
4	-4	0	0.45668906	0.45557415	0.059068494	0.014199198	0.014469099	2.8162077e-11	0.19423001	265
5	-4	1.5	0.45564324	0.45746109	0.058529526	0.014159359	0.014206791	2.9127565e-11	0.20056	265
6	-4	3	0.45459741	0.45934802	0.057990558	0.014119519	0.013944482	2.8989203e-11	0.20689	265
7	-8	0	0.45730519	0.45330849	0.0625166	0.011883901	0.0149858	2.964275e-11	0.20555	265
8	-8	1.5	0.45575982	0.45527604	0.0620993	0.012124141	0.014740711	3.0067563e-11	0.21241879	265
9	-8	3	0.45421442	0.45724359	0.061682001	0.012364381	0.014495624	2.9157704e-11	0.2192876	265
10	-12	0	0.45136911	0.44910839	0.0708929	0.0122041	0.0164255	3.2531287e-11	0.21636	265
11	-12	1.5	0.45062354	0.45078835	0.070095323	0.012342581	0.016150208	3.2615053e-11	0.2232444	265
12	-12	3	0.44987801	0.45246828	0.069297738	0.01248106	0.015874917	3.1389523e-11	0.23012879	265
13	-16	0	0.4499082	0.44691131	0.074329197	0.0117892	0.0170621	3.2723161e-11	0.22416	265
14	-16	1.5	0.44917676	0.44856668	0.073645763	0.011755048	0.016855784	2.1253542e-11	0.2309808	265
15	-16	3	0.44844529	0.45022202	0.072962329	0.011720896	0.016649468	3.2899166e-11	0.2378016	265
16	-20	0	0.45116293	0.43984467	0.079307497	0.010546599	0.019138297	3.4820275e-11	0.22804999	265
17	-20	1.5	0.45025826	0.44189125	0.078392409	0.010605952	0.018852146	3.4447147e-11	0.2350208	265
18	-20	3	0.44935355	0.44393784	0.077477321	0.010665303	0.018565994	3.4837758e-11	0.24199159	265
19	-24	0	0.44890571	0.4359014	0.085816398	0.009145	0.020231498	2.8346591e-11	0.23108999	265
