Point	Row	Column	Ratio_111_110
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	0.057630841
11	1	11	
12	2	1	
13	2	2	0.087414958
14	2	3	0.09617696
15	2	4	
16	2	5	0.10516614
17	2	6	0.079891838
18	2	7	
19	2	8	0.095754005
20	2	9	
21	2	10	
22	2	11	0.074842788
23	3	1	
24	3	2	0.078022406
25	3	3	0.080712534
26	3	4	0.096854948
27	3	5	0.093291059
28	3	6	
29	3	7	0.07836961
30	3	8	
31	3	9	
32	3	10	0.10712578
33	3	11	0.10418505
34	4	1	
35	4	2	
36	4	3	
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	0.095266744
42	4	9	0.099305667
43	4	10	0.099375427
44	4	11	0.10657862
