Point	Row	Column	Frac_110
1	1	1	0.72118396
2	1	2	0.7040289
3	1	3	0.68067431
4	1	4	0.66313392
5	1	5	0.6930362
6	1	6	0.72437739
7	1	7	0.76810926
8	1	8	0.79708183
9	1	9	0.8057934
10	1	10	0.79731798
11	1	11	0.79593486
12	2	1	0.65638673
13	2	2	0.62486857
14	2	3	0.58531469
15	2	4	0.57008523
16	2	5	0.5652253
17	2	6	0.57111484
18	2	7	0.57696944
19	2	8	0.60510862
20	2	9	0.67782396
21	2	10	0.76080978
22	2	11	0.81372851
23	3	1	0.70457143
24	3	2	0.66520363
25	3	3	0.63361907
26	3	4	0.60205328
27	3	5	0.58203793
28	3	6	0.57333463
29	3	7	0.58110255
30	3	8	0.60527539
31	3	9	0.64017433
32	3	10	0.71890515
33	3	11	0.78609359
34	4	1	0.66428047
35	4	2	0.63684499
36	4	3	0.62688327
37	4	4	0.61965972
38	4	5	0.64187378
39	4	6	0.68114537
40	4	7	0.70922047
41	4	8	0.72764832
42	4	9	0.74588424
43	4	10	0.77343005
44	4	11	0.76477635
