Point	Row	Column	Co_at
1	1	1	0.17200567
2	1	2	0.18368143
3	1	3	0.19501874
4	1	4	0.20832534
5	1	5	0.2220207
6	1	6	0.23333538
7	1	7	0.24624527
8	1	8	0.25876901
9	1	9	0.26919979
10	1	10	0.27999327
11	1	11	0.28725809
12	2	1	0.1562319
13	2	2	0.16183847
14	2	3	0.16983156
15	2	4	0.1799044
16	2	5	0.1942907
17	2	6	0.20811057
18	2	7	0.22394013
19	2	8	0.24053851
20	2	9	0.2559143
21	2	10	0.26983705
22	2	11	0.27999586
23	3	1	0.19944911
24	3	2	0.20392339
25	3	3	0.20836635
26	3	4	0.21495035
27	3	5	0.22344202
28	3	6	0.23288783
29	3	7	0.2451243
30	3	8	0.2565378
31	3	9	0.26910692
32	3	10	0.28033304
33	3	11	0.28981575
34	4	1	0.24119119
35	4	2	0.25282687
36	4	3	0.26196301
37	4	4	0.27115852
38	4	5	0.28255665
39	4	6	0.29130527
40	4	7	0.29998219
41	4	8	0.30662784
42	4	9	0.31464764
43	4	10	0.32012218
44	4	11	0.32696202
