Point	Row	Column	Zr_at
1	1	1	0.072650358
2	1	2	0.067158051
3	1	3	0.067201108
4	1	4	0.062698357
5	1	5	0.061281107
6	1	6	0.059351306
7	1	7	0.058341693
8	1	8	0.054100849
9	1	9	0.052694973
10	1	10	0.052115433
11	1	11	0.049727451
12	2	1	0.086660191
13	2	2	0.087704308
14	2	3	0.089341089
15	2	4	0.086059853
16	2	5	0.082387827
17	2	6	0.079951912
18	2	7	0.076394968
19	2	8	0.074150696
20	2	9	0.068216309
21	2	10	0.065877751
22	2	11	0.061754204
23	3	1	0.076311603
24	3	2	0.081311166
25	3	3	0.082615979
26	3	4	0.085210219
27	3	5	0.086918734
28	3	6	0.085509129
29	3	7	0.083728299
30	3	8	0.081987977
31	3	9	0.079916202
32	3	10	0.073978812
33	3	11	0.072624177
34	4	1	0.05970972
35	4	2	0.059378948
36	4	3	0.062769644
37	4	4	0.066308685
38	4	5	0.065983556
39	4	6	0.06757208
40	4	7	0.07056386
41	4	8	0.071308136
42	4	9	0.072964124
43	4	10	0.071568958
44	4	11	0.069831714
