Point	Row	Column	Pos_110
1	1	1	30.953808
2	1	2	30.955315
3	1	3	30.96163
4	1	4	30.969456
5	1	5	30.951609
6	1	6	30.940901
7	1	7	30.940998
8	1	8	30.9566
9	1	9	30.980404
10	1	10	31.005377
11	1	11	31.014877
12	2	1	30.907606
13	2	2	30.897556
14	2	3	30.906826
15	2	4	30.906055
16	2	5	30.901524
17	2	6	30.89163
18	2	7	30.879719
19	2	8	30.86727
20	2	9	30.856913
21	2	10	30.842497
22	2	11	30.872635
23	3	1	30.914764
24	3	2	30.892023
25	3	3	30.900574
26	3	4	30.904289
27	3	5	30.889294
28	3	6	30.871229
29	3	7	30.8557
30	3	8	30.833973
31	3	9	30.81657
32	3	10	30.804663
33	3	11	30.789791
34	4	1	30.936729
35	4	2	30.935555
36	4	3	30.933105
37	4	4	30.924465
38	4	5	30.922373
39	4	6	30.928831
40	4	7	30.915104
41	4	8	30.870687
42	4	9	30.862072
43	4	10	30.874674
44	4	11	30.88159
