Point	Row	Column	d_um
1	1	1	0.16425
2	1	2	0.17
3	1	3	0.17406
4	1	4	0.17349
5	1	5	0.17103
6	1	6	0.16523001
7	1	7	0.15614
8	1	8	0.14595
9	1	9	0.13536
10	1	10	0.12346
11	1	11	0.1119
12	2	1	0.21951
13	2	2	0.23583999
14	2	3	0.24848001
15	2	4	0.25481001
16	2	5	0.25400999
17	2	6	0.24767999
18	2	7	0.23743001
19	2	8	0.22363
20	2	9	0.20619
21	2	10	0.18771
22	2	11	0.1689
23	3	1	0.19396
24	3	2	0.21298
25	3	3	0.23145001
26	3	4	0.2455
27	3	5	0.25457001
28	3	6	0.25852001
29	3	7	0.25601
30	3	8	0.24814001
31	3	9	0.23423
32	3	10	0.21797
33	3	11	0.19887
34	4	1	0.12718999
35	4	2	0.14063001
36	4	3	0.155
37	4	4	0.17002
38	4	5	0.18176
39	4	6	0.19208001
40	4	7	0.19719
41	4	8	0.19713999
42	4	9	0.1928
43	4	10	0.18389
44	4	11	0.17217
