Point	Row	Column	Zr_at
1	1	1	0.33791515
2	1	2	0.33063149
3	1	3	0.3196322
4	1	4	0.31075823
5	1	5	0.29716629
6	1	6	0.28341168
7	1	7	0.27259403
8	1	8	0.26382279
9	1	9	0.25470069
10	1	10	0.24207178
11	1	11	0.2371192
12	2	1	0.34984824
13	2	2	0.34548306
14	2	3	0.3380008
15	2	4	0.32876393
16	2	5	0.3182424
17	2	6	0.30688453
18	2	7	0.298105
19	2	8	0.29188496
20	2	9	0.2813828
21	2	10	0.27284431
22	2	11	0.26471537
23	3	1	0.35030755
24	3	2	0.34787375
25	3	3	0.3432692
26	3	4	0.33728236
27	3	5	0.33157095
28	3	6	0.32846084
29	3	7	0.31957981
30	3	8	0.3140519
31	3	9	0.30725688
32	3	10	0.30014551
33	3	11	0.29084563
34	4	1	0.33925971
35	4	2	0.33940709
36	4	3	0.33737901
37	4	4	0.3369053
38	4	5	0.33541358
39	4	6	0.3322219
40	4	7	0.33038399
41	4	8	0.32763529
42	4	9	0.32145199
43	4	10	0.31983927
44	4	11	0.3115989
