Point	Row	Column	d_um
1	1	1	0.21223
2	1	2	0.22867
3	1	3	0.24461
4	1	4	0.25705999
5	1	5	0.26488
6	1	6	0.26831999
7	1	7	0.26574999
8	1	8	0.25887001
9	1	9	0.24420001
10	1	10	0.22812
11	1	11	0.21445
12	2	1	0.24924999
13	2	2	0.27259001
14	2	3	0.29424
15	2	4	0.30923
16	2	5	0.31722999
17	2	6	0.32085001
18	2	7	0.31592
19	2	8	0.30665001
20	2	9	0.28843001
21	2	10	0.26532
22	2	11	0.24033
23	3	1	0.23308
24	3	2	0.25597
25	3	3	0.27868
26	3	4	0.29528001
27	3	5	0.30651999
28	3	6	0.31106001
29	3	7	0.30713999
30	3	8	0.29659
31	3	9	0.27737999
32	3	10	0.25497001
33	3	11	0.22847
34	4	1	0.18136001
35	4	2	0.19850001
36	4	3	0.21426
37	4	4	0.23029999
38	4	5	0.24133
39	4	6	0.24687999
40	4	7	0.24581
41	4	8	0.23804
42	4	9	0.22411001
43	4	10	0.20851
44	4	11	0.19182
