Point	Row	Column	Norm_d
1	1	1	0.22130619
2	1	2	0.33916411
3	1	3	0.45343754
4	1	4	0.54269123
5	1	5	0.59875262
6	1	6	0.62341386
7	1	7	0.60498959
8	1	8	0.5556671
9	1	9	0.45049825
10	1	10	0.33522117
11	1	11	0.2372213
12	2	1	0.48670155
13	2	2	0.65402538
14	2	3	0.80923367
15	2	4	0.91669655
16	2	5	0.97404832
17	2	6	1
18	2	7	0.96465695
19	2	8	0.89820057
20	2	9	0.76758188
21	2	10	0.60190696
22	2	11	0.42275432
23	3	1	0.37077928
24	3	2	0.53487706
25	3	3	0.69768441
26	3	4	0.81668937
27	3	5	0.89726859
28	3	6	0.92981577
29	3	7	0.90171337
30	3	8	0.82608074
31	3	9	0.68836474
32	3	10	0.52770805
33	3	11	0.33773029
34	4	1	0
35	4	2	0.12287619
36	4	3	0.2358592
37	4	4	0.35084951
38	4	5	0.4299233
39	4	6	0.4697111
40	4	7	0.46204028
41	4	8	0.40633738
42	4	9	0.30647358
43	4	10	0.19463761
44	4	11	0.074987456
