Point	Row	Column	Norm_Int110
1	1	1	22.946522
2	1	2	22.265131
3	1	3	23.368534
4	1	4	24.247671
5	1	5	25.164047
6	1	6	24.700623
7	1	7	21.290651
8	1	8	19.858875
9	1	9	19.273329
10	1	10	23.394157
11	1	11	24.062004
12	2	1	21.495411
13	2	2	18.904947
14	2	3	18.053566
15	2	4	17.684763
16	2	5	17.851278
17	2	6	17.66003
18	2	7	17.857647
19	2	8	17.036943
20	2	9	17.230192
21	2	10	17.396883
22	2	11	17.208838
23	3	1	18.271721
24	3	2	18.196552
25	3	3	18.100119
26	3	4	18.045689
27	3	5	18.134453
28	3	6	18.415543
29	3	7	18.931799
30	3	8	20.114319
31	3	9	20.144554
32	3	10	17.629171
33	3	11	17.178835
34	4	1	23.071211
35	4	2	21.387239
36	4	3	19.528944
37	4	4	19.187904
38	4	5	19.380495
39	4	6	19.288866
40	4	7	19.127274
41	4	8	19.331825
42	4	9	21.089636
43	4	10	23.198215
44	4	11	22.13187
