Point	Row	Column	Y_at
1	1	1	0.029513597
2	1	2	0.0279532
3	1	3	0.030552501
4	1	4	0.031638302
5	1	5	0.033259802
6	1	6	0.033796895
7	1	7	0.034432903
8	1	8	0.0346779
9	1	9	0.035368301
10	1	10	0.034551196
11	1	11	0.0442307
12	2	1	0.035893805
13	2	2	0.035054896
14	2	3	0.037019201
15	2	4	0.038360402
16	2	5	0.043152999
17	2	6	0.044630904
18	2	7	0.046341099
19	2	8	0.044504896
20	2	9	0.045148801
21	2	10	0.044860601
22	2	11	0.043758195
23	3	1	0.041499995
24	3	2	0.043777306
25	3	3	0.045328502
26	3	4	0.049902294
27	3	5	0.053080693
28	3	6	0.057563804
29	3	7	0.057782002
30	3	8	0.059138302
31	3	9	0.059744895
32	3	10	0.059783
33	3	11	0.059962004
34	4	1	0.048889901
35	4	2	0.0541858
36	4	3	0.057031401
37	4	4	0.061653402
38	4	5	0.065906793
39	4	6	0.0722479
40	4	7	0.070849501
41	4	8	0.072054498
42	4	9	0.0762631
43	4	10	0.074138395
44	4	11	0.070611998
