Point	Row	Column	FWHM_200
1	1	1	0.76714641
2	1	2	0.7643804
3	1	3	0.70119381
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	0.76318318
13	2	2	0.81819034
14	2	3	0.75512439
15	2	4	0.70084757
16	2	5	0.86631751
17	2	6	0.92197597
18	2	7	
19	2	8	0.76493663
20	2	9	0.91986197
21	2	10	0.73737162
22	2	11	
23	3	1	0.89819217
24	3	2	0.80500644
25	3	3	0.88013828
26	3	4	0.87283868
27	3	5	0.87226737
28	3	6	0.74689901
29	3	7	0.70467913
30	3	8	0.69332802
31	3	9	0.73631823
32	3	10	0.7921952
33	3	11	0.80755264
34	4	1	0.70516115
35	4	2	0.78865725
36	4	3	0.79539597
37	4	4	
38	4	5	0.93212056
39	4	6	0.88466471
40	4	7	
41	4	8	0.84325904
42	4	9	0.7015782
43	4	10	0.6771729
44	4	11	0.65796405
