Point	Row	Column	_s_Area
1	1	1	0.16966788
2	1	2	0.17749371
3	1	3	0.1863336
4	1	4	0.19511902
5	1	5	0.20538969
6	1	6	0.21721578
7	1	7	0.22577432
8	1	8	0.23530801
9	1	9	0.2438052
10	1	10	0.25411537
11	1	11	0.264615
12	2	1	0.15654081
13	2	2	0.16175078
14	2	3	0.1680705
15	2	4	0.17470902
16	2	5	0.1817437
17	2	6	0.18949571
18	2	7	0.1980841
19	2	8	0.20540588
20	2	9	0.21250521
21	2	10	0.22250301
22	2	11	0.23169348
23	3	1	0.15011449
24	3	2	0.15126131
25	3	3	0.1553065
26	3	4	0.15779528
27	3	5	0.16210088
28	3	6	0.16393912
29	3	7	0.170073
30	3	8	0.1730416
31	3	9	0.17868729
32	3	10	0.1851158
33	3	11	0.19436322
34	4	1	0.1486098
35	4	2	0.1453312
36	4	3	0.145778
37	4	4	0.1452897
38	4	5	0.14548388
39	4	6	0.14512029
40	4	7	0.146547
41	4	8	0.1482958
42	4	9	0.1498113
43	4	10	0.15520449
44	4	11	0.1647891
