Point	Row	Column	Y_at
1	1	1	0.18660352
2	1	2	0.18090931
3	1	3	0.17923951
4	1	4	0.1988986
5	1	5	0.16520528
6	1	6	0.16361129
7	1	7	0.16287969
8	1	8	0.16331108
9	1	9	0.1675407
10	1	10	0.1745155
11	1	11	0.17531902
12	2	1	0.1783558
13	2	2	0.17188752
14	2	3	0.16669101
15	2	4	0.1589312
16	2	5	0.15294072
17	2	6	0.149028
18	2	7	0.1457472
19	2	8	0.1447569
20	2	9	0.1441136
21	2	10	0.14928009
22	2	11	0.14910249
23	3	1	0.17589791
24	3	2	0.16814008
25	3	3	0.1608374
26	3	4	0.15292898
27	3	5	0.14903952
28	3	6	0.14666991
29	3	7	0.13727722
30	3	8	0.13537259
31	3	9	0.1347497
32	3	10	0.1574278
33	3	11	0.13874801
34	4	1	0.18347821
35	4	2	0.1762194
36	4	3	0.1692941
37	4	4	0.16405299
38	4	5	0.1542407
39	4	6	0.1490892
40	4	7	0.1459685
41	4	8	0.1420334
42	4	9	0.14018261
43	4	10	0.1391881
44	4	11	0.14129029
