Point	Row	Column	_s_Area
1	1	1	0.12619281
2	1	2	0.1371593
3	1	3	0.14472811
4	1	4	0.1407102
5	1	5	0.15706758
6	1	6	0.16302089
7	1	7	0.17011929
8	1	8	0.17270768
9	1	9	0.1787324
10	1	10	0.1770115
11	1	11	0.17965631
12	2	1	0.14197759
13	2	2	0.15058191
14	2	3	0.15993419
15	2	4	0.1644958
16	2	5	0.17192031
17	2	6	0.1820254
18	2	7	0.1864654
19	2	8	0.19044331
20	2	9	0.1950724
21	2	10	0.19967958
22	2	11	0.19970261
23	3	1	0.15485121
24	3	2	0.16793099
25	3	3	0.1744716
26	3	4	0.18550478
27	3	5	0.19323312
28	3	6	0.19909482
29	3	7	0.20739383
30	3	8	0.2101244
31	3	9	0.2110415
32	3	10	0.21050911
33	3	11	0.22091749
34	4	1	0.1489871
35	4	2	0.1626319
36	4	3	0.1725816
37	4	4	0.18699419
38	4	5	0.2019857
39	4	6	0.2127938
40	4	7	0.2205175
41	4	8	0.2232345
42	4	9	0.22427702
43	4	10	0.2232264
44	4	11	0.22498858
