Point	Row	Column	Co_at
1	1	1	0.13434272
2	1	2	0.14323831
3	1	3	0.15016651
4	1	4	0.15758771
5	1	5	0.16246769
6	1	6	0.17043629
7	1	7	0.17732129
8	1	8	0.18189988
9	1	9	0.1874488
10	1	10	0.1874968
11	1	11	0.18925221
12	2	1	0.14822569
13	2	2	0.15611081
14	2	3	0.164921
15	2	4	0.1701653
16	2	5	0.17835112
17	2	6	0.1872558
18	2	7	0.1907351
19	2	8	0.1969348
20	2	9	0.2014035
21	2	10	0.20611008
22	2	11	0.20498601
23	3	1	0.16302902
24	3	2	0.17518628
25	3	3	0.18120711
26	3	4	0.19016558
27	3	5	0.19919252
28	3	6	0.20675892
29	3	7	0.21217372
30	3	8	0.2173011
31	3	9	0.2191678
32	3	10	0.2256685
33	3	11	0.2221292
34	4	1	0.1595929
35	4	2	0.1714634
36	4	3	0.18234929
37	4	4	0.19662949
38	4	5	0.20995709
39	4	6	0.2205279
40	4	7	0.2285288
41	4	8	0.2329457
42	4	9	0.23324072
43	4	10	0.2326543
44	4	11	0.23229457
