Point	Row	Column	_s_FWHM
1	1	1	0.24550858
2	1	2	0.25903979
3	1	3	0.26327541
4	1	4	0.2711634
5	1	5	0.27393401
6	1	6	0.2806696
7	1	7	0.28960359
8	1	8	0.28703681
9	1	9	0.2904788
10	1	10	0.2897532
11	1	11	0.28287402
12	2	1	0.25771561
13	2	2	0.27359241
14	2	3	0.28104681
15	2	4	0.29632524
16	2	5	0.30383179
17	2	6	0.31235859
18	2	7	0.31940541
19	2	8	0.32314301
20	2	9	0.32332924
21	2	10	0.32543361
22	2	11	0.32175061
23	3	1	0.27547139
24	3	2	0.29170203
25	3	3	0.3102524
26	3	4	0.32541659
27	3	5	0.33471519
28	3	6	0.34950301
29	3	7	0.36025459
30	3	8	0.36571383
31	3	9	0.36449239
32	3	10	0.37169221
33	3	11	0.36485517
34	4	1	0.29908037
35	4	2	0.31741321
36	4	3	0.33342999
37	4	4	0.34970719
38	4	5	0.37354276
39	4	6	0.37942815
40	4	7	0.3902024
41	4	8	0.39568564
42	4	9	0.40095803
43	4	10	0.3984412
44	4	11	0.39951459
