Point	Row	Column	d_um
1	1	1	0.20162
2	1	2	0.21868999
3	1	3	0.23284
4	1	4	0.2437
5	1	5	0.25246
6	1	6	0.25525999
7	1	7	0.25363001
8	1	8	0.24743
9	1	9	0.23386
10	1	10	0.21943
11	1	11	0.20092
12	2	1	0.24236
13	2	2	0.26379001
14	2	3	0.28115001
15	2	4	0.29637
16	2	5	0.30421001
17	2	6	0.30539
18	2	7	0.30131
19	2	8	0.29027
20	2	9	0.27142
21	2	10	0.25154001
22	2	11	0.22714999
23	3	1	0.22804999
24	3	2	0.25007001
25	3	3	0.26745999
26	3	4	0.28051999
27	3	5	0.29031
28	3	6	0.29306
29	3	7	0.28870001
30	3	8	0.27555001
31	3	9	0.26006001
32	3	10	0.23939
33	3	11	0.21763
34	4	1	0.17155001
35	4	2	0.18836001
36	4	3	0.20376
37	4	4	0.21426
38	4	5	0.22246
39	4	6	0.22658999
40	4	7	0.22555999
41	4	8	0.22059
42	4	9	0.21118
43	4	10	0.19697
44	4	11	0.18005
