Point	Row	Column	Y_at
1	1	1	0.028953997
2	1	2	0.029821699
3	1	3	0.030216103
4	1	4	0.033201098
5	1	5	0.034911402
6	1	6	0.036717199
7	1	7	0.036560301
8	1	8	0.036846001
9	1	9	0.036700401
10	1	10	0.036508098
11	1	11	0.038508505
12	2	1	0.030861201
13	2	2	0.034072898
14	2	3	0.035749801
15	2	4	0.040173706
16	2	5	0.042305999
17	2	6	0.042158801
18	2	7	0.045752998
19	2	8	0.045552298
20	2	9	0.044895705
21	2	10	0.046161599
22	2	11	0.048276301
23	3	1	0.0353375
24	3	2	0.041753802
25	3	3	0.0449371
26	3	4	0.047644299
27	3	5	0.049350701
28	3	6	0.055942498
29	3	7	0.056122601
30	3	8	0.060037106
31	3	9	0.060662098
32	3	10	0.0608657
33	3	11	0.063533194
34	4	1	0.039780095
35	4	2	0.0455768
36	4	3	0.051449299
37	4	4	0.0569603
38	4	5	0.060826395
39	4	6	0.064022392
40	4	7	0.068235599
41	4	8	0.067521803
42	4	9	0.071734309
43	4	10	0.069828697
44	4	11	0.073570602
