Point	Row	Column	110_s_Position
1	1	1	0.42820054
2	1	2	0.39929479
3	1	3	0.37378085
4	1	4	0.34855059
5	1	5	0.32303321
6	1	6	0.30008101
7	1	7	0.27827099
8	1	8	0.26259279
9	1	9	0.2477528
10	1	10	0.235908
11	1	11	0.22800842
12	2	1	0.43630299
13	2	2	0.41402179
14	2	3	0.3890698
15	2	4	0.36199743
16	2	5	0.33522141
17	2	6	0.31418261
18	2	7	0.29070419
19	2	8	0.2739614
20	2	9	0.26127884
21	2	10	0.2477406
22	2	11	0.2394596
23	3	1	0.4265736
24	3	2	0.39985964
25	3	3	0.37807259
26	3	4	0.35329261
27	3	5	0.33326101
28	3	6	0.3084234
29	3	7	0.2885628
30	3	8	0.27641684
31	3	9	0.26198441
32	3	10	0.2522938
33	3	11	0.24456158
34	4	1	0.39618996
35	4	2	0.37570241
36	4	3	0.35153341
37	4	4	0.32968181
38	4	5	0.30806336
39	4	6	0.29151577
40	4	7	0.27615741
41	4	8	0.26633283
42	4	9	0.25525382
43	4	10	0.2469916
44	4	11	0.2360498
