Point	Row	Column	PeakArea_110
1	1	1	10.07962
2	1	2	10.524796
3	1	3	11.045404
4	1	4	12.656263
5	1	5	13.42168
6	1	6	13.766323
7	1	7	12.995895
8	1	8	13.487872
9	1	9	13.004567
10	1	10	12.843837
11	1	11	12.286638
12	2	1	11.746482
13	2	2	11.842128
14	2	3	11.57389
15	2	4	11.512748
16	2	5	11.621185
17	2	6	12.157943
18	2	7	12.680815
19	2	8	12.633169
20	2	9	12.74928
21	2	10	12.931399
22	2	11	12.810283
23	3	1	11.449565
24	3	2	11.639451
25	3	3	11.303066
26	3	4	10.806046
27	3	5	10.792506
28	3	6	10.571482
29	3	7	10.620433
30	3	8	10.930707
31	3	9	11.752318
32	3	10	12.346545
33	3	11	12.411214
34	4	1	10.361959
35	4	2	11.004786
36	4	3	11.354144
37	4	4	11.737191
38	4	5	11.596884
39	4	6	11.704774
40	4	7	12.033335
41	4	8	11.968161
42	4	9	11.913579
43	4	10	12.090373
44	4	11	12.036222
