Point	Row	Column	_s_FWHM
1	1	1	0.41216055
2	1	2	0.4303838
3	1	3	0.45069671
4	1	4	0.47648677
5	1	5	0.4965151
6	1	6	0.5262745
7	1	7	0.55619472
8	1	8	0.57554328
9	1	9	0.59017849
10	1	10	0.60741448
11	1	11	0.64396179
12	2	1	0.41214311
13	2	2	0.43545592
14	2	3	0.45850876
15	2	4	0.48413017
16	2	5	0.51365167
17	2	6	0.53623146
18	2	7	0.56638443
19	2	8	0.58631957
20	2	9	0.61099082
21	2	10	0.63428032
22	2	11	0.6505307
23	3	1	0.41520873
24	3	2	0.4519113
25	3	3	0.46761855
26	3	4	0.49553305
27	3	5	0.5209406
28	3	6	0.54109657
29	3	7	0.56521791
30	3	8	0.58783543
31	3	9	0.62052226
32	3	10	0.63682705
33	3	11	0.65610045
34	4	1	0.41411808
35	4	2	0.44081047
36	4	3	0.46184787
37	4	4	0.48928788
38	4	5	0.50739419
39	4	6	0.52875501
40	4	7	0.54573792
41	4	8	0.57442129
42	4	9	0.59959209
43	4	10	0.60481381
44	4	11	0.62240356
