Point	Row	Column	110_s_Position
1	1	1	0.62873685
2	1	2	0.61553532
3	1	3	0.59792364
4	1	4	0.57589644
5	1	5	0.55676955
6	1	6	0.53163856
7	1	7	0.5142293
8	1	8	0.49077782
9	1	9	0.471448
10	1	10	0.45329323
11	1	11	0.44007272
12	2	1	0.62687159
13	2	2	0.60863578
14	2	3	0.59263605
15	2	4	0.57495022
16	2	5	0.55061823
17	2	6	0.52729499
18	2	7	0.50374335
19	2	8	0.48467517
20	2	9	0.46129906
21	2	10	0.44249195
22	2	11	0.42273745
23	3	1	0.61771435
24	3	2	0.59786969
25	3	3	0.58287185
26	3	4	0.55795419
27	3	5	0.53639394
28	3	6	0.51957995
29	3	7	0.4977335
30	3	8	0.47527677
31	3	9	0.4529506
32	3	10	0.43821391
33	3	11	0.41956288
34	4	1	0.60824025
35	4	2	0.59133852
36	4	3	0.57351828
37	4	4	0.55319911
38	4	5	0.53104627
39	4	6	0.51470739
40	4	7	0.49525443
41	4	8	0.47538567
42	4	9	0.45787677
43	4	10	0.4449071
44	4	11	0.42574444
