Point	Row	Column	MaxInt_111
1	1	1	360.74414
2	1	2	415.84912
3	1	3	570.66125
4	1	4	711.54156
5	1	5	648.3927
6	1	6	660.10791
7	1	7	556.83179
8	1	8	598.36591
9	1	9	495.62277
10	1	10	472.08121
11	1	11	454.36551
12	2	1	738.05829
13	2	2	737.82733
14	2	3	845.08612
15	2	4	874.66333
16	2	5	800.46893
17	2	6	809.82556
18	2	7	712.75543
19	2	8	709.27979
20	2	9	630.42932
21	2	10	601.39441
22	2	11	516.06909
23	3	1	625.28271
24	3	2	700.99066
25	3	3	689.82019
26	3	4	731.6344
27	3	5	615.64856
28	3	6	653.98547
29	3	7	675.68622
30	3	8	645.03857
31	3	9	586.94562
32	3	10	537.01105
33	3	11	449.14941
34	4	1	362.4736
35	4	2	409.32352
36	4	3	435.47845
37	4	4	472.35611
38	4	5	438.93365
39	4	6	450.3403
40	4	7	461.37793
41	4	8	427.47641
42	4	9	377.09589
43	4	10	349.26685
44	4	11	305.58072
