Point	Row	Column	_s_MaxIntensity
1	1	1	0.11467222
2	1	2	0.11354484
3	1	3	0.11243626
4	1	4	0.11190349
5	1	5	0.10641282
6	1	6	0.11204707
7	1	7	0.10123852
8	1	8	0.092838012
9	1	9	0.088050529
10	1	10	0.08405593
11	1	11	0.078173816
12	2	1	0.090667427
13	2	2	0.090451851
14	2	3	0.090354808
15	2	4	0.089626849
16	2	5	0.095469415
17	2	6	0.089046426
18	2	7	0.097778328
19	2	8	0.099931747
20	2	9	0.095588237
21	2	10	0.092786513
22	2	11	0.092588358
23	3	1	0.083693944
24	3	2	0.093720213
25	3	3	0.088738918
26	3	4	0.086197942
27	3	5	0.086271279
28	3	6	0.090437464
29	3	7	0.089619122
30	3	8	0.091860019
31	3	9	0.087860674
32	3	10	0.089400232
33	3	11	0.084125251
34	4	1	0.073987715
35	4	2	0.074668609
36	4	3	0.082992263
37	4	4	0.07913164
38	4	5	0.080588475
39	4	6	0.085519135
40	4	7	0.0811707
41	4	8	0.086049542
42	4	9	0.087970339
43	4	10	0.086204484
44	4	11	0.089097813
