Point	Row	Column	_s_FWHM
1	1	1	0.13785702
2	1	2	0.13842978
3	1	3	0.12886487
4	1	4	0.13499406
5	1	5	0.12046487
6	1	6	0.1241092
7	1	7	0.12477181
8	1	8	0.1128291
9	1	9	0.11427023
10	1	10	0.11721123
11	1	11	0.11333223
12	2	1	0.15791695
13	2	2	0.15030605
14	2	3	0.15074779
15	2	4	0.14912529
16	2	5	0.14597873
17	2	6	0.13819009
18	2	7	0.13870801
19	2	8	0.14330949
20	2	9	0.13674711
21	2	10	0.13044277
22	2	11	0.1231299
23	3	1	0.14999248
24	3	2	0.15749213
25	3	3	0.15370639
26	3	4	0.15310799
27	3	5	0.15056911
28	3	6	0.1528942
29	3	7	0.15087414
30	3	8	0.14812309
31	3	9	0.14960089
32	3	10	0.13791099
33	3	11	0.13471358
34	4	1	0.13121901
35	4	2	0.13358919
36	4	3	0.13940978
37	4	4	0.14052507
38	4	5	0.14567241
39	4	6	0.13905759
40	4	7	0.13543911
41	4	8	0.13720618
42	4	9	0.14125274
43	4	10	0.13683991
44	4	11	0.13656655
