Point	Row	Column	_s_Area
1	1	1	0.48840761
2	1	2	0.48755753
3	1	3	0.49178571
4	1	4	0.4884547
5	1	5	0.49297398
6	1	6	0.49396893
7	1	7	0.48823336
8	1	8	0.49000445
9	1	9	0.48689017
10	1	10	0.48342234
11	1	11	0.4824208
12	2	1	0.46637523
13	2	2	0.4700729
14	2	3	0.46980351
15	2	4	0.47025079
16	2	5	0.47474533
17	2	6	0.47542816
18	2	7	0.47953516
19	2	8	0.47831112
20	2	9	0.47942057
21	2	10	0.48117188
22	2	11	0.48472923
23	3	1	0.46685073
24	3	2	0.46811405
25	3	3	0.46751627
26	3	4	0.46654499
27	3	5	0.46785107
28	3	6	0.46877164
29	3	7	0.46937248
30	3	8	0.47186846
31	3	9	0.46912989
32	3	10	0.47574461
33	3	11	0.47470585
34	4	1	0.47138435
35	4	2	0.47053972
36	4	3	0.47179124
37	4	4	0.46930328
38	4	5	0.46745804
39	4	6	0.47323078
40	4	7	0.47286579
41	4	8	0.47442168
42	4	9	0.47335881
43	4	10	0.4746823
44	4	11	0.47626564
