Point	Row	Column	FWHM_110
1	1	1	0.56210989
2	1	2	0.55798852
3	1	3	0.55953521
4	1	4	0.55311519
5	1	5	0.55991077
6	1	6	0.5534538
7	1	7	0.55535769
8	1	8	0.5557791
9	1	9	0.55876756
10	1	10	0.56116891
11	1	11	0.5462541
12	2	1	0.5527091
13	2	2	0.55725616
14	2	3	0.55379456
15	2	4	0.55424958
16	2	5	0.55249828
17	2	6	0.5543921
18	2	7	0.5547331
19	2	8	0.56057006
20	2	9	0.55412447
21	2	10	0.55265015
22	2	11	0.55684853
23	3	1	0.54936779
24	3	2	0.54788232
25	3	3	0.54484868
26	3	4	0.54910022
27	3	5	0.55336136
28	3	6	0.54580998
29	3	7	0.54919505
30	3	8	0.54887968
31	3	9	0.54609108
32	3	10	0.55328947
33	3	11	0.55034614
34	4	1	0.54233533
35	4	2	0.5430463
36	4	3	0.54968172
37	4	4	0.54446203
38	4	5	0.54815412
39	4	6	0.54697198
40	4	7	0.55213892
41	4	8	0.54917687
42	4	9	0.54499012
43	4	10	0.53997397
44	4	11	0.54463398
