Point	Row	Column	a_Ang
1	1	1	4.1588192
2	1	2	4.1565137
3	1	3	4.1562281
4	1	4	4.1562557
5	1	5	4.156971
6	1	6	4.1574011
7	1	7	4.1599374
8	1	8	4.1732898
9	1	9	
10	1	10	4.2008429
11	1	11	4.200264
12	2	1	4.1534433
13	2	2	4.1546907
14	2	3	4.1533837
15	2	4	4.1534295
16	2	5	4.1541209
17	2	6	4.1541424
18	2	7	4.1557341
19	2	8	4.1550779
20	2	9	4.1562915
21	2	10	
22	2	11	4.2008166
23	3	1	4.1535735
24	3	2	4.152317
25	3	3	4.1517458
26	3	4	4.1529212
27	3	5	4.1516685
28	3	6	4.1543579
29	3	7	4.1521382
30	3	8	4.1535296
31	3	9	4.1547723
32	3	10	4.1672072
33	3	11	
34	4	1	4.1919241
35	4	2	4.1922688
36	4	3	
37	4	4	4.1537094
38	4	5	4.1541195
39	4	6	4.1528502
40	4	7	4.1558299
41	4	8	4.1630034
42	4	9	
43	4	10	4.1945543
44	4	11	4.1939869
